uid_number,name,Node type,articleStudyCoords,articleDOI,processEcosystemOrigin,processEcosystemTarget,processWikidataID,processCURIE,taxonCommonName,taxonAttribute,taxonWikidataID,taxonCURIE,variableWikidataID,variableCURIE
128,Bombus impatiens,Taxon,,,,,,,Common eastern bumblebee,Abundance,Q2367709,NCBITaxon:132113,,
129,Bombus grisecollis,Taxon,,,,,,,brown-belted bumblebee,Abundance,Q2163571,NCBITaxon:207634,,
130,Bombus rufocinctus,Taxon,,,,,,,Red-belted bumblebee,Abundance,Q2088072,NCBITaxon:207647,,
131,Bombus sandersonii,Taxon,,,,,,,Sanderson bumblebee,Abundance,Q1974809,NCBITaxon:421272,,
132,Bombus variabilis,Taxon,,,,,,,Variable Cuckoo Bumble Bee,Abundance,Q2511750,NCBITaxon:28654,,
133,Calliopsis sp.,Taxon,,,,,,,Miner bee,Abundance,Q14491786,NCBITaxon:156286,,
134,Ceratina calcarata,Taxon,,,,,,,Spurred ceratina,Abundance,Q2520020,NCBITaxon:156304,,
135,Ceratina dupla,Taxon,,,,,,,Doubled ceratina,Abundance,Q3044319,NCBITaxon:236026,,
136,Ceratina floridana,Taxon,,,,,,,Small carpenter bees,Abundance,Q1938968,NCBITaxon:1161895,,
137,Ceratina mikmaqi,Taxon,,,,,,,,Abundance,,,,
138,Ceratina octoplenta,Taxon,,,,,,,,Abundance,,,,
139,Ceratina strenua,Taxon,,,,,,,Nimble ceratina,Abundance,Q1969680,NCBITaxon:710039,,
140,Ceratina sp.,Taxon,,,,,,,Small carpenter bees,Abundance,Q1938968,NCBITaxon:78173,,
141,Colletes compactus,Taxon,,,,,,,Compact plasterer bee,Abundance,Q2000080,NCBITaxon:395732,,
142,Colletes inaequalis,Taxon,,,,,,,Common eastern plasterer bee,Abundance,Q3062683,NCBITaxon:253571,,
143,Colletes validus,Taxon,,,,,,,Blueberry cellophane bee,Abundance,Q2102631,,,
144,Dieunomia nevadensis,Taxon,,,,,,,Nevada nomia,Abundance,Q10755450,NCBITaxon:156315,,
145,Halictus confusus,Taxon,,,,,,,Southern bronze furrow bee ,Abundance,Q2073854,,,
146,Halictus ligatus,Taxon,,,,,,,Ligated furrow bee,Abundance,Q10764944,NCBITaxon:77576,,
147,Hoplitis pilosifrons,Taxon,,,,,,,White-faced summer mason bee,Abundance,Q52537046,NCBITaxon:156336,,
148,Hoplitis annulatus,Taxon,,,,,,,,Abundance,,NCBITaxon:549064,,
149,Halictus parallelus,Taxon,,,,,,,Parallel-striped Sweat Bee,Abundance,Q2547370,NCBITaxon:115106,,
150,Hoplitis rubicundus,Taxon,,,,,,,Orange-legged furrow bee,Abundance,Q611128,,,
151,Hoplitis truncata,Taxon,,,,,,,Truncate Small-Mason Bee,Abundance,Q2686758,NCBITaxon:1149102,,
152,Lasioglossum acuminatum,Taxon,,,,,,,Pointed sweat bee,Abundance,Q2713259,NCBITaxon:586979,,
153,Lasioglossum albipenne,Taxon,,,,,,,White-winged sweat bee,Abundance,Q2313548,NCBITaxon:1038993,,
154,Lasioglossum anomalum,Taxon,,,,,,,Anomalous sweat bee,Abundance,Q2409309,,,
155,Lasioglossum ascheri,Taxon,,,,,,,Ascher's sweat bee,Abundance,Q21277026,,,
156,Lasioglossum bruneri,Taxon,,,,,,,Bruner's sweat bee,Abundance,Q1947366,NCBITaxon:1039180,,
157,Lasioglossum cintipes,Taxon,,,,,,,Band-footed sweat bee,Abundance,Q2038144,NCBITaxon:88505,,
158,Lasioglossum coriaceum,Taxon,,,,,,,Leathery sweat bee,Abundance,Q2845129,NCBITaxon:88526,,
159,Lasioglossum cressonii,Taxon,,,,,,,Cresson's sweat bee,Abundance,Q1980123,NCBITaxon:88489,,
160,Lasioglossum disparile,Taxon,,,,,,,Metallic sweat bee,Abundance,Q2784386,NCBITaxon:1039387,,
161,Lasioglossum divergens,Taxon,,,,,,,Sweat bee,Abundance,Q2460241,NCBITaxon:586980,,
162,Lasioglossum floridanum,Taxon,,,,,,,Florida metallic sweat bee,Abundance,Q54984454,,,
163,Lasioglossum foveolatum,Taxon,,,,,,,Foveolate sweat bee,Abundance,Q2452402,NCBITaxon:1039496,,
164,Lasioglossum furunculum,Taxon,,,,,,,Sweat bee,Abundance,Q21277074,,,
165,Lasioglossum fuscipenne,Taxon,,,,,,,Sweat bee,Abundance,Q21277074,,,
166,Lasioglossum gotham,Taxon,,,,,,,Gotham bee,Abundance,Q16753155,NCBITaxon:1830422,,
167,Lasioglossum hitchensii,Taxon,,,,,,,Hitchens's sweat bee,Abundance,Q21277092,,,
168,Lasioglossum leucocomum,Taxon,,,,,,,White-haired golden sweat bee,Abundance,Q21277119,NCBITaxon:1040591,,
169,Lasioglossum leucozonium,Taxon,,,,,,,White-zoned furrow bee,Abundance,Q2601088,NCBITaxon:88532,,
170,Lasioglossum lineatulum,Taxon,,,,,,,Lineolated sweat bee,Abundance,Q3083114,NCBITaxon:1039749,,
171,Lasioglossum lustrans,Taxon,,,,,,,Carolina desert chicory sweat bee,Abundance,Q1900480,NCBITaxon:88524,,
172,Lasioglossum macoupinense,Taxon,,,,,,,Macoupin County sweat bee,Abundance,Q1967389,NCBITaxon:1039776,,
173,Lasioglossum oceanicum,Taxon,,,,,,,Ocean grove sweat bee,Abundance,Q21277131,NCBITaxon:1040586,,
174,Lasioglossum oenotherae,Taxon,,,,,,,Evening primrose sweat bee,Abundance,Q2967911,NCBITaxon:88542,,
175,Lasioglossum paraforbesii,Taxon,,,,,,,Bald-spot sweat bee,Abundance,Q5373917,,,
176,Lasioglossum pentinatum,Taxon,,,,,,,Ground cherry sweat bee,Abundance,Q1941190,NCBITaxon:1040024,,
177,Lasioglossum pectorale,Taxon,,,,,,,Rugose-chested Sweat Bee,Abundance,Q5925901,NCBITaxon:88517,,
178,Lasioglossum perpunctatum,Taxon,,,,,,,Densely punctured sweat bee,Abundance,Q2393362,NCBITaxon:1040055,,
179,Lasioglossum pilosum,Taxon,,,,,,,Hairy sweat bee,Abundance,Q3305548,NCBITaxon:88495,,
180,Lasioglossum rufitarse,Taxon,,,,,,,Rufous-footed furrow bee,Abundance,Q2111180,NCBITaxon:1040194,,
181,Lasioglossum sopinci,Taxon,,,,,,,Sweat bee,Abundance,Q2289767,NCBITaxon:1040317,,
182,Lasioglossum vierecki,Taxon,,,,,,,Viereck's sweat bee,Abundance,Q2295583,NCBITaxon:88499,,
183,Lasioglossum viridatum,Taxon,,,,,,,Eastern green sweat bee,Abundance,Q1877304,NCBITaxon:1035998,,
184,Lasioglossum zonulum,Taxon,,,,,,,Bull-headed furrow bee,Abundance,Q4043692,NCBITaxon:88538,,
185,Lasioglossum sp.,Taxon,,,,,,,Sweat bee,Abundance,Q1939370,NCBITaxon:88472,,
186,Megachile bimaculatus,Taxon,,,,,,,,Abundance,,,,
187,Megachile campanulae,Taxon,,,,,,,Bellflower resin bee,Abundance,Q941457,NCBITaxon:1895128,,
188,Megachile latimanus,Taxon,,,,,,,Broad-handed leafcutter bee,Abundance,Q2704568,NCBITaxon:586910,,
189,Megachile mendica,Taxon,,,,,,,Beggar leafcutter bee,Abundance,Q2479624,NCBITaxon:1452482,,
190,Megachile denticulata,Taxon,,,,,,,Leafcutter bee,Abundance,Q261844,NCBITaxon:132116,,
191,Megachile dentriventris,Taxon,,,,,,,Spiny-legged leafcutter bee,Abundance,Q261844,NCBITaxon:132116,,
192,Megachile desponsa,Taxon,,,,,,,Leafcutter bee,Abundance,Q261844,NCBITaxon:132116,,
193,Melissodes druriella,Taxon,,,,,,,Drury's long-horned bee,Abundance,Q2429139,NCBITaxon:586913,,
194,Melissodes subillata,Taxon,,,,,,,Long-horned bee,Abundance,Q2293431,,,
195,Melissodes texana,Taxon,,,,,,,Texas long-horned bee,Abundance,,,,
196,Melissodes trinodes,Taxon,,,,,,,Dark-veined longhorn bee,Abundance,Q2804954,NCBITaxon:599369,,
197,Nomada articulata,Taxon,,,,,,,Articulated cuckoo nomad bee,Abundance,Q5351623,NCBITaxon:586915,,
198,Nomada cressonii,Taxon,,,,,,,Cresson's cuckoo nomad bee,Abundance,Q2082500,NCBITaxon:586919,,
199,Nomada denticulata,Taxon,,,,,,,Denticulate cuckoo nomad bee,Abundance,Q2671316,NCBITaxon:601473,,
200,Nomada lepida,Taxon,,,,,,,Charming cuckoo nomad bee,Abundance,Q2151501,NCBITaxon:586926,,
201,Nomada pygmaea,Taxon,,,,,,,Pygmy cuckoo nomad bee,Abundance,Q632214,NCBITaxon:586928,,
202,Nomada sayi,Taxon,,,,,,,Say's cuckoo nomad bee,Abundance,Q2029875,NCBITaxon:586929,,
203,Nomada sp. i,Taxon,,,,,,,Cuckoo bee,Abundance,Q1714895,NCBITaxon:95295,,
204,Osmia atriventris,Taxon,,,,,,,Maine blueberry bee,Abundance,Q2463422,NCBITaxon:586932,,
205,Osmia caerulescens,Taxon,,,,,,,Blue mason bee,Abundance,Q2388784,NCBITaxon:586934,,
206,Osmia distincta,Taxon,,,,,,,Distinct mason bee,Abundance,Q10803332,NCBITaxon:1404026,,
207,Osmia georgica,Taxon,,,,,,,Georgia mason bee,Abundance,Q3091416,NCBITaxon:1404047,,
208,Osmia pumila,Taxon,,,,,,,Dwarf mason bee,Abundance,Q2114693,NCBITaxon:1404169,,
209,Osmia sp.,Taxon,,,,,,,Mason bee,Abundance,Q975164,NCBITaxon:124287,,
210,Peponapis pruinosa,Taxon,,,,,,,Pruinose squash bee,Abundance,Q2323788,,,
211,Perdita sp.,Taxon,,,,,,,Fairy bee,Abundance,Q4046673,NCBITaxon:205151,,
212,Sphecodes coarctatus,Taxon,,,,,,,Blood bee,Abundance,Q15732832,NCBITaxon:88591,,
213,Sphecodes dichrous,Taxon,,,,,,,Scalloped cuckoo sweat bee,Abundance,Q655884,NCBITaxon:586943,,
214,Sphecodes lateralis,Taxon,,,,,,,Blood bee,Abundance,Q15732832,NCBITaxon:88591,,
215,Sphecodes persimilis,Taxon,,,,,,,Bllood bee,Abundance,Q2203101,NCBITaxon:178069,,
216,Sphecodes stygius,Taxon,,,,,,,Deadly cuckoo sweat bee,Abundance,Q2469869,NCBITaxon:586947,,
217,Sphecodes sp.,Taxon,,,,,,,Blood bee,Abundance,Q15732832,NCBITaxon:88591,,
218,Svastra aegis,Taxon,,,,,,,Sandhills longhorn bee,Abundance,Q2354942,,,
219,Xylocopa virginica,Taxon,,,,,,,Eastern carpenter bee,Abundance,Q2149448,NCBITaxon:28638,,
220,Plant Species Composition and Forage Production 14 Yr After Biosolids Application and Grazing Exclusion,Article,"51.42, -122.15",10.1016/j.rama.2019.07.003,,,,,,,,,,
221,Fertilizer application process,Process,,,Sown pastures and fields,Sown pastures and fields,Q1776685,ENVO:00002059,,,,,,
222,Species diversity,Environmental variable,,,,,,,,,,,,
223,Aboveground biomass,Environmental variable,,,,,,,,,,,,
224,Litter Percent Cover ,Environmental variable,,,,,,,,,,,,
225,Aboveground carbon concentration,Environmental variable,,,,,,,,,,,,
226,Thatch soil carbon concentration,Environmental variable,,,,,,,,,,,,
227,Thatch root carbon concentration,Environmental variable,,,,,,,,,,,,
228,"N, Mg and Protein Concentration",Environmental variable,,,,,,,,,,,,
229,Forage quality ,Environmental variable,,,,,,,,,,,,
230,Phosphorous concentration,Environmental variable,,,,,,,,,,,,
231,"Uptake of plant micronutrients (B, Cu, Fe Mn, Mo, Na, Zn)",Environmental variable,,,,,,,,,,,,
232,Hesperostipa comata,Taxon,,,,,,,Needle-and-thread grass,Percent Cover,Q15296074,NCBITaxon:487942,,
233,Koeleria macrantha,Taxon,,,,,,,Junegrass,Percent Cover,Q159962,NCBITaxon:366481,,
234,Poa secunda ssp. juncifolia,Taxon,,,,,,,Nevada bluegrass,Percent Cover,Q10807853,NCBITaxon:368386,,
235,Poa pratensis,Taxon,,,,,,,Kentucky bluegrass,Percent Cover,Q147783,NCBITaxon:4545,,
236,Poa secunda ssp. secunda,Taxon,,,,,,,Sandberg’s bluegrass,Percent Cover,Q10807854,NCBITaxon:368387,,
237,Pseudoroegneria spicata,Taxon,,,,,,,Bluebunch wheatgrass,Percent Cover,Q2827251,NCBITaxon:4604,,
238,Pseudoroegneria spicata,Taxon,,,,,,,Bluebunch wheatgrass,Vigor,Q2827251,NCBITaxon:4604,,
239,Allium cernuum,Taxon,,,,,,,Nodding onion,Percent Cover,Q10641333,NCBITaxon:70754,,
240,Astragalus agrestis,Taxon,,,,,,,Field milk-vetch,Percent Cover,Q2705984,NCBITaxon:20402,,
241,Antennaria spp.,Taxon,,,,,,,Pussytoes,Percent Cover,Q602788,NCBITaxon:41475,,
242,Artemisia frigida,Taxon,,,,,,,Prairie sagewort,Percent Cover,Q606606,NCBITaxon:395280,,
243,Taraxacum officinale,Taxon,,,,,,,Common dandelion,Percent Cover,Q131219,NCBITaxon:50225,,
255,Importance of species diversity in the revegetation of Alberta’s northern fescue prairies,Article,"52.3168, -111.4350; 52.2334, -110.9517; 51.50, -112.285",10.1007/s10531-017-1456-z,,,,,,,,,,
256,Diverse Seeding Process,Process,,,Urban and industrial ecosystems,Temperate subhumid grasslands,,ENVO:00000117,,,,,,
257,Simple Seeding Process,Process,,,Urban and industrial ecosystems,Temperate subhumid grasslands,,ENVO:00000118,,,,,,
258,Reclaimation Seeding Process,Process,,,Urban and industrial ecosystems,Temperate subhumid grasslands,,ENVO:00000119,,,,,,
261,Vegetation Cover,Environmental variable,,,,,,,,,,,,
262,Fescue Percent Cover,Environmental variable,,,,,,,,,,,,
263,Weed Percent Cover,Environmental variable,,,,,,,,,,,,
264,Bare Soil Percent Cover,Environmental variable,,,,,,,,,,,,
266,Festuca hallii,Taxon,,,,,,,Plains rough fescue,Abundance,Q15296964,NCBITaxon:1234500,,
267,Elymus trachycaulus subsp. Trachycaulus,Taxon,,,,,,,Slender wheatgrass,Abundance,Q5368494,NCBITaxon:1539878,,
268,Nassella viridula,Taxon,,,,,,,Green needlegrass,Abundance,Q6967601,NCBITaxon:37681,,
270,Hesperostipa curtiseta,Taxon,,,,,,,Western porcupine grass,Abundance,Q49427222,NCBITaxon:487945,,
271,Elymus lanceolatus subsp. Lanceolatus,Taxon,,,,,,,Thickspike wheatgrass,Abundance,Q5368485,NCBITaxon:86024,,
272,Pascopyrum smithii,Taxon,,,,,,,Western wheatgrass,Abundance,Q2517725,NCBITaxon:86023,,
273,Festuca saximontana,Taxon,,,,,,,Rocky mountain fescue,Abundance,Q15479017,NCBITaxon:464078,,
274,Heterotheca villosa,Taxon,,,,,,,Hairy goldenaster,Abundance,Q15562549,NCBITaxon:72941,,
275,Vicia americana,Taxon,,,,,,,Purple vetch,Abundance,Q311158,NCBITaxon:200966,,
276,Achillea millefolium,Taxon,,,,,,,Common yarrow,Abundance,Q25408,NCBITaxon:13329,,
277,Anemone multifida,Taxon,,,,,,,Cutleaf anemone,Abundance,Q4761662,NCBITaxon:13329,,
278,Erigeron glabellus,Taxon,,,,,,,Streamside fleabane,Abundance,Q15589582,NCBITaxon:91269,,
279,Gaillardia aristata,Taxon,,,,,,,Common blanketflower,Abundance,Q5517196,NCBITaxon:55624,,
280,Hedysarum spp.,Taxon,,,,,,,Sweetvetch,Abundance,Q148973,NCBITaxon:47034,,
281,Penstemon procerus,Taxon,,,,,,,Littleflower penstemon,Abundance,Q3062191,NCBITaxon:265151,,
282,Potentilla gracilis,Taxon,,,,,,,Slender cinquefoil,Abundance,Q2716465,NCBITaxon:457912,,
283,Solidago rigida,Taxon,,,,,,,Stiff goldenrod,Abundance,Q15568528,NCBITaxon:199521,,
284,Enriched Topographic Microsites for Improved Native Grass and Forb Establishment in Reclamation,Article,"50.5341, -111.5645, 53.3706, -112.5322, 53.2428, -113.4537",10.1016/j.rama.2017.08.004,,,,,,,,,,
285,Flat Blanket,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000117,,,,,,
286,Flat Grass,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000118,,,,,,
287,Flat Straw ,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000119,,,,,,
288,Flat Manure ,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000120,,,,,,
289,Flat Hydrogel,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000121,,,,,,
290,Flat Hay,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000122,,,,,,
291,Mound Blanket,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000123,,,,,,
292,Mound Grass,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000124,,,,,,
293,Mound Straw ,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000125,,,,,,
294,Mound Manure,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000126,,,,,,
295,Mound Hydrogel,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000127,,,,,,
296,Mound Hay,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000127,,,,,,
297,Pit Blanket,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000128,,,,,,
298,Pit Grass,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000129,,,,,,
299,Pit Straw,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000130,,,,,,
300,Pit Manure,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000131,,,,,,
301,Pit Hydrogel,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000132,,,,,,
302,Pit Hay,Process,,,Temperate subhumid grasslands,Temperate subhumid grasslands,,ENVO:00000133,,,,,,
303,Near Surface Temperature,Environmental variable,,,,,,,,,,,,
304,Soil Water Content ,Environmental variable,,,,,,,,,,,,
305,Year 1 Grass Emergence,Environmental variable,,,,,,,,,,,,
306,Year 2 Grass Emergence ,Environmental variable,,,,,,,,,,,,
307,Year 1 Forb Emergence ,Environmental variable,,,,,,,,,,,,
308,Year 2 Forb Emergence ,Environmental variable,,,,,,,,,,,,
309,Year 1 Seedling Emergence ,Environmental variable,,,,,,,,,,,,
310,Year 2 Seedling Emergence,Environmental variable,,,,,,,,,,,,
311,Over Winter Survival ,Environmental variable,,,,,,,,,,,,
312,Grass Survival ,Environmental variable,,,,,,,,,,,,
314,Bromus ciliatus,Taxon,,,,,,,Fringed brome ,Emergents per m2,Q4973782,NCBITaxon:254123,,
317,Astragalus canadensis,Taxon,,,,,,,Canada milkvetch,Emergents per m2,Q978116,NCBITaxon:20408,,
318,Geum triflorum,Taxon,,,,,,,Old man's whiskers,Emergents per m2,Q2709956,NCBITaxon:148890,,
319,Linum lewisii,Taxon,,,,,,,Wild Blue Flax,Emergents per m2,Q3113824,NCBITaxon:586382,,
320,Rapid initial recovery and long-term persistence of a bee community in a former landfill,Article,"43.122, -79.237",10.1111/icad.12261,,,,,,,,,,
322,Species Abundance ,Environmental variable,,,,,,,,,,,,
325,Andrena carlini,Taxon,,,,,,,Carlinville miner bee,Abundance,Q2142269,NCBITaxon:205183,,
326,Andrena cressonii,Taxon,,,,,,,Cresson's mining bee,Abundance,Q1842173,NCBITaxon:205180,,
329,Andrena erythronii,Taxon,,,,,,,Trout lily miner bee,Abundance,Q2412515,NCBITaxon:2184723,,
330,Andrena miserabilis,Taxon,,,,,,,Miserable mining bee,Abundance,Q12782075,NCBITaxon:205181,,
332,Andrena nigrihirta,Taxon,,,,,,,Black-haired miner bee,Abundance,Q10733699,,,
333,Andrena wilkella,Taxon,,,,,,,Wilke's mining bee,Abundance,Q2631787,NCBITaxon:205204,,
334,Calliopsis andreniformis,Taxon,,,,,,,Eastern miner bee,Abundance,Q2457231,NCBITaxon:337506,,
335,Pseudopanurgus andrenoides,Taxon,,,,,,,Small black miner bee,Abundance,Q2007321,NCBITaxon:337497,,
336,Anthophora bomboides,Taxon,,,,,,,Bumble-bee-mimic digger bee,Abundance,Q2559988,NCBITaxon:586895,,
337,Anthophora terminalis ,Taxon,,,,,,,Red-tipped digger bee,Abundance,Q2288913,NCBITaxon:597899,,
338,Apis milleigera,Taxon,,,,,,,Honeybee,Abundance,Q30034,NCBITaxon:7460,,
340,Bombus borealis,Taxon,,,,,,,Northern amber bumble bee,Abundance,Q2656536,NCBITaxon:207622,,
342,Bombus fervidus ,Taxon,,,,,,,Golden northern bumble bee,Abundance,Q1929138,NCBITaxon:203811,,
343,Bombus griseocollis,Taxon,,,,,,,brown-belted bumblebee,Abundance,Q2163571,NCBITaxon:207634,,
345,Bombus rufocinctus ,Taxon,,,,,,,Red-belted bumblebee,Abundance,Q2088072,NCBITaxon:207647,,
346,Bombus terricola,Taxon,,,,,,,Yellow-banded bumble bee,Abundance,Q2093558,NCBITaxon:207648,,
347,Bombus vagans,Taxon,,,,,,,Half-black Bumble Bee,Abundance,Q2795860,NCBITaxon:239131,,
351,Melissodes apicata,Taxon,,,,,,,Pickerelweed longhorn bee,Abundance,Q10792609,NCBITaxon:599252,,
352,Melissodes desponsa,Taxon,,,,,,,Thistle long-horned bee,Abundance,Q2168291,,,
355,Nomada bethunei,Taxon,,,,,,,Bethune's cuckoo nomadbee,Abundance,Q1817642,NCBITaxon:601389,,
357,Nomada denticulata ,Taxon,,,,,,,Denticulate cuckoo nomad bee,Abundance,Q2671316,NCBITaxon:601473,,
358,Nomada illinoensis,Taxon,,,,,,,Illinois cuckoo nomad bee,Abundance,Q13682804,NCBITaxon:586923,,
359,Nomada imbricata,Taxon,,,,,,,Imbricate Cuckoo Nomad Bee,Abundance,Q2107899,NCBITaxon:156347,,
360,Nomada luteoloides,Taxon,,,,,,,Yellowish cuckoo nomad bee,Abundance,Q2622547,NCBITaxon:601661,,
361,Nomada maculata,Taxon,,,,,,,Maculated cuckoo nomad bee,Abundance,Q10801583,NCBITaxon:156348,,
362,Triepeolus donatus,Taxon,,,,,,,Thistle longhorn-cuckoo bee,Abundance,Q2616080,,,
363,Triepeolus lunatus,Taxon,,,,,,,Lunate longhorn-cuckoo bee,Abundance,Q10828018,,,
365,Hylaeus affinis,Taxon,,,,,,,Familiar yellow-faced bee,Abundance,Q2235767,NCBITaxon:313023,,
366,Hylaeus annulatus,Taxon,,,,,,,Ringed yellow-faced bee,Abundance,Q2854859,NCBITaxon:586976,,
367,Hylaeus hyalinatus,Taxon,,,,,,,Hyaline yellow-faced bee,Abundance,Q14365671,NCBITaxon:313025,,
368,Hylaeus mesillae,Taxon,,,,,,,Mesilla valley yellow-faced bee,Abundance,Q2088558,NCBITaxon:313019,,
369,Hylaeus sparsus,Taxon,,,,,,,Carrot yellow-faced bee ,Abundance,Q2244633,,,
376,Halictus rubicundus,Taxon,,,,,,,Orange-legged furrow bee,Abundance,Q611128,NCBITaxon:77578,,
377,Lasioglossum admirandum ,Taxon,,,,,,,Admirable sweat bee,Abundance,Q4697324,NCBITaxon:1038972,,
378,Lasioglossum atwoodi,Taxon,,,,,,,Atwood's sweat bee,Abundance,Q2743327,,,
381,Lasioglossum ellisiae,Taxon,,,,,,,Ellis's sweat bee,Abundance,Q21277071,NCBITaxon:593122,,
382,Lasioglossum ephialtum,Taxon,,,,,,,Nightmare sweat bee,Abundance,Q2767952,NCBITaxon:1040581,,
383,Lasioglossum fattigi,Taxon,,,,,,,Fattig's sweat bee,Abundance,Q2583368,NCBITaxon:1039472,,
385,Lasioglossum imitatum,Taxon,,,,,,,Bristle sweat bee,Abundance,Q2155593,NCBITaxon:88493,,
386,Lasioglossum laevissimum,Taxon,,,,,,,Very smooth sweat bee,Abundance,Q2314531,NCBITaxon:1039703,,
389,Lasioglossum paradmirandum,Taxon,,,,,,,Stunning sweat bee,Abundance,Q5492672,NCBITaxon:1040006,,
391,Lasioglossum platyparium ,Taxon,,,,,,,Flat sweat bee,Abundance,Q2265680,NCBITaxon:1040087,,
392,Lasioglossum sagax,Taxon,,,,,,,Sagacious sweat bee,Abundance,Q2868741,NCBITaxon:1040217,,
393,Lasioglossum versatum,Taxon,,,,,,,Experienced sweat bee,Abundance,Q1906692,NCBITaxon:1040515,,
395,Lasioglossum weemsi,Taxon,,,,,,,Weems's sweat bee,Abundance,Q3916316,NCBITaxon:1040536,,
396,Lasioglossum cinctipes,Taxon,,,,,,,Band-footed sweat bee,Abundance,Q2038144,NCBITaxon:88505,,
397,Lasioglossum foxii,Taxon,,,,,,,Fox's sweat bee,Abundance,Q2124577,NCBITaxon:586981,,
399,Leuchalictus leucozonium,Taxon,,,,,,,White-zoned furrow bee,Abundance,Q2601088,NCBITaxon:88532,,
400,Leuchalictus zonulum,Taxon,,,,,,,,Abundance,,,,
